Entity,Code,Year,Wind (TWh growth - equivalent)
Africa,,1966,0
Africa,,1967,0
Africa,,1968,0
Africa,,1969,0
Africa,,1970,0
Africa,,1971,0
Africa,,1972,0
Africa,,1973,0
Africa,,1974,0
Africa,,1975,0
Africa,,1976,0
Africa,,1977,0
Africa,,1978,0
Africa,,1979,0
Africa,,1980,0
Africa,,1981,0
Africa,,1982,0
Africa,,1983,0
Africa,,1984,0
Africa,,1985,0
Africa,,1986,0
Africa,,1987,0
Africa,,1988,0
Africa,,1989,0
Africa,,1990,0
Africa,,1991,0
Africa,,1992,0
Africa,,1993,0.005913972
Africa,,1994,0.010053777
Africa,,1995,0.0026612785
Africa,,1996,0.0023655836
Africa,,1997,0.000295721
Africa,,1998,0.0011827778
Africa,,1999,0.0360753
Africa,,2000,0.46040323
Africa,,2001,0.7019341
Africa,,2002,0.07386255
Africa,,2003,0.2585554
Africa,,2004,0.6606133
Africa,,2005,0.020639658
Africa,,2006,0.19133711
Africa,,2007,0.4476006
Africa,,2008,0.81267786
Africa,,2009,0.7520921
Africa,,2010,1.9027743
Africa,,2011,0.24250174
Africa,,2012,0.31415558
Africa,,2013,2.895949
Africa,,2014,3.914587
Africa,,2015,10.287999
Africa,,2016,5.923332
Africa,,2017,6.3072357
Africa,,2018,2.831913
Africa,,2019,11.767506
Africa,,2020,-0.6490631
Africa,,2021,9.4314995
Africa,,2022,2.6856575
Africa (EI),,1966,0
Africa (EI),,1967,0
Africa (EI),,1968,0
Africa (EI),,1969,0
Africa (EI),,1970,0
Africa (EI),,1971,0
Africa (EI),,1972,0
Africa (EI),,1973,0
Africa (EI),,1974,0
Africa (EI),,1975,0
Africa (EI),,1976,0
Africa (EI),,1977,0
Africa (EI),,1978,0
Africa (EI),,1979,0
Africa (EI),,1980,0
Africa (EI),,1981,0
Africa (EI),,1982,0
Africa (EI),,1983,0
Africa (EI),,1984,0
Africa (EI),,1985,0
Africa (EI),,1986,0
Africa (EI),,1987,0
Africa (EI),,1988,0
Africa (EI),,1989,0
Africa (EI),,1990,0
Africa (EI),,1991,0
Africa (EI),,1992,0
Africa (EI),,1993,0.005913972
Africa (EI),,1994,0.010053777
Africa (EI),,1995,0.0026612785
Africa (EI),,1996,0.0023655836
Africa (EI),,1997,0.000295721
Africa (EI),,1998,0.0011827778
Africa (EI),,1999,0.03607522
Africa (EI),,2000,0.46040332
Africa (EI),,2001,0.7019342
Africa (EI),,2002,0.07386243
Africa (EI),,2003,0.2585553
Africa (EI),,2004,0.6606134
Africa (EI),,2005,0.020639896
Africa (EI),,2006,0.19133711
Africa (EI),,2007,0.44760036
Africa (EI),,2008,0.8126781
Africa (EI),,2009,0.7520919
Africa (EI),,2010,1.9027739
Africa (EI),,2011,0.24250174
Africa (EI),,2012,0.31415558
Africa (EI),,2013,2.8959494
Africa (EI),,2014,3.914587
